DOWNLOADABLE,ON_DEMAND,Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Browse Exists,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Entity ID,Display ID,Ordering ID
1,N,LC80120442014205LGN00,12,44,12,44,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/24/14,2014:205:15:31:54.5591454,2014:205:15:32:25.5594525,9,11.66,66.49769001,93.03447186,5.603,5.241,Yes,"23¡06'45.76""N","76¡26'49.99""W","24¡09'39.31""N","77¡09'14.11""W","23¡47'22.74""N","75¡19'37.67""W","22¡03'10.44""N","75¡45'15.73""W","22¡25'32.23""N","77¡33'26.60""W",23.11271,-76.44722,24.16092,-77.15392,23.78965,-75.32713,22.0529,-75.75437,22.42562,-77.55739,LC80120442014205LGN00,LC80120442014205LGN00,LC80120442014205LGN00
1,N,LC80120462014205LGN00,12,46,12,46,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/24/14,2014:205:15:32:41.5596141,2014:205:15:33:13.5599313,9,4.28,66.0340529,86.33391256,5.656,5.55,Yes,"20¡13'46.67""N","77¡07'36.73""W","21¡16'38.53""N","77¡49'13.80""W","20¡54'33.59""N","76¡01'52.36""W","19¡10'15.17""N","76¡26'42.72""W","19¡32'26.45""N","78¡12'51.44""W",20.22963,-77.12687,21.27737,-77.8205,20.90933,-76.03121,19.17088,-76.4452,19.54068,-78.21429,LC80120462014205LGN00,LC80120462014205LGN00,LC80120462014205LGN00
1,N,LC80120482014205LGN00,12,48,12,48,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/24/14,2014:205:15:33:29.5600929,2014:205:15:34:01.5604101,9,4.47,65.2557831,80.00243635,6.568,5.543,Yes,"17¡20'40.42""N","77¡47'20.65""W","18¡23'31.27""N","78¡28'17.47""W","18¡01'35.87""N","76¡42'50.04""W","16¡17'12.16""N","77¡07'00.37""W","16¡39'14.94""N","78¡51'27.04""W",17.34456,-77.78907,18.39202,-78.47152,18.02663,-76.7139,16.28671,-77.11677,16.65415,-78.85751,LC80120482014205LGN00,LC80120482014205LGN00,LC80120482014205LGN00
1,N,LC80050472014204LGN00,5,47,5,47,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/23/14,2014:204:14:49:49.5338949,2014:204:14:50:21.5342121,9,17.93,65.69240529,82.59043554,5.22,5.693,Yes,"18¡47'14.06""N","66¡38'44.66""W","19¡50'05.50""N","67¡20'00.64""W","19¡28'05.59""N","65¡33'39.02""W","17¡43'44.29""N","65¡58'08.51""W","18¡05'51.07""N","67¡43'23.52""W",18.78724,-66.64574,19.83486,-67.33351,19.46822,-65.56084,17.72897,-65.96903,18.09752,-67.7232,LC80050472014204LGN00,LC80050472014204LGN00,LC80050472014204LGN00
1,N,LC80050482014204LGN00,5,48,5,48,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/23/14,2014:204:14:50:13.5341313,2014:204:14:50:45.5344545,9,8.56,65.25287759,79.48698194,4.886,5.33,Yes,"17¡20'39.23""N","66¡58'29.89""W","18¡23'30.12""N","67¡39'26.89""W","18¡01'34.61""N","65¡53'59.14""W","16¡17'10.86""N","66¡18'09.40""W","16¡39'13.72""N","68¡02'36.42""W",17.34423,-66.97497,18.3917,-67.65747,18.02628,-65.89976,16.28635,-66.30261,16.65381,-68.04345,LC80050482014204LGN00,LC80050482014204LGN00,LC80050482014204LGN00
1,N,LC80090472014200LGN00,9,47,9,47,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/19/14,2014:200:15:14:33.5487333,2014:200:15:15:04.5490404,9,11.47,65.73522376,80.70246399,5.355,6.148,Yes,"18¡47'14.35""N","72¡49'54.26""W","19¡50'05.53""N","73¡31'10.27""W","19¡28'05.77""N","71¡44'48.62""W","17¡43'44.69""N","72¡09'18.04""W","18¡05'51.36""N","73¡54'33.12""W",18.78732,-72.83174,19.83487,-73.51952,19.46827,-71.74684,17.72908,-72.15501,18.0976,-73.9092,LC80090472014200LGN00,LC80090472014200LGN00,LC80090472014200LGN00
1,N,LC80090462014200LGN00,9,46,9,46,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/19/14,2014:200:15:14:09.5484909,2014:200:15:14:41.5488141,9,8.04,66.14586939,83.89885595,4.82,5.825,Yes,"20¡13'46.49""N","72¡29'55.32""W","21¡16'38.53""N","73¡11'32.53""W","20¡54'33.59""N","71¡24'10.73""W","19¡10'15.06""N","71¡49'01.02""W","19¡32'26.34""N","73¡35'10.10""W",20.22958,-72.4987,21.27737,-73.19237,20.90933,-71.40298,19.17085,-71.81695,19.54065,-73.58614,LC80090462014200LGN00,LC80090462014200LGN00,LC80090462014200LGN00
1,N,LC80090482014200LGN00,9,48,9,48,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/19/14,2014:200:15:14:57.5489757,2014:200:15:15:28.5492828,9,13.13,65.2507319,77.62927227,5.844,6.644,Yes,"17¡20'39.52""N","73¡09'39.38""W","18¡23'30.23""N","73¡50'35.74""W","18¡01'35.15""N","72¡05'09.42""W","16¡17'11.18""N","72¡29'19.50""W","16¡39'13.64""N","74¡13'45.08""W",17.34431,-73.16094,18.39173,-73.84326,18.02643,-72.08595,16.28644,-72.48875,16.65379,-74.22919,LC80090482014200LGN00,LC80090482014200LGN00,LC80090482014200LGN00
1,N,LC80110482014198LGN00,11,48,11,48,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/17/14,2014:198:15:27:18.5563818,2014:198:15:27:50.5567050,9,15.46,65.25626022,76.78128989,6.517,6.601,Yes,"17¡20'40.63""N","76¡15'12.60""W","18¡23'31.42""N","76¡56'09.74""W","18¡01'36.05""N","75¡10'41.77""W","16¡17'12.19""N","75¡34'51.89""W","16¡39'14.98""N","77¡19'19.13""W",17.34462,-76.2535,18.39206,-76.93604,18.02668,-75.17827,16.28672,-75.58108,16.65416,-77.32198,LC80110482014198LGN00,LC80110482014198LGN00,LC80110482014198LGN00
1,N,LC80130462014196LGN00,13,46,13,46,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/15/14,2014:196:15:38:52.5633252,2014:196:15:39:24.5636424,9,5.57,66.24159661,82.21193282,7.191,6.455,Yes,"20¡13'46.78""N","78¡41'01.90""W","21¡16'38.75""N","79¡22'39.07""W","20¡54'33.91""N","77¡35'17.48""W","19¡10'15.38""N","78¡00'07.74""W","19¡32'26.59""N","79¡46'16.61""W",20.22966,-78.68386,21.27743,-79.37752,20.90942,-77.58819,19.17094,-78.00215,19.54072,-79.77128,LC80130462014196LGN00,LC80130462014196LGN00,LC80130462014196LGN00
1,N,LC80130452014196LGN00,13,45,13,45,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/15/14,2014:196:15:38:28.5630828,2014:196:15:39:00.5634000,9,16.49,66.61617421,85.51166917,6.171,5.397,Yes,"21¡40'17.04""N","78¡20'47.33""W","22¡43'09.70""N","79¡02'47.22""W","22¡20'59.32""N","77¡14'20.83""W","20¡36'43.85""N","77¡39'33.95""W","20¡59'00.02""N","79¡26'41.32""W",21.6714,-78.34648,22.71936,-79.04645,22.34981,-77.23912,20.61218,-77.65943,20.98334,-79.44481,LC80130452014196LGN00,LC80130452014196LGN00,LC80130452014196LGN00
1,N,LC80060472014195LGN00,6,47,6,47,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/14/14,2014:195:14:56:00.5376000,2014:195:14:56:32.5379232,9,13.81,65.80732421,78.63733475,5.834,5.792,Yes,"18¡47'14.50""N","68¡12'07.56""W","19¡50'05.89""N","68¡53'23.86""W","19¡28'05.88""N","67¡07'01.49""W","17¡43'44.69""N","67¡31'30.83""W","18¡05'51.54""N","69¡16'46.56""W",18.78736,-68.2021,19.83497,-68.88996,19.4683,-67.11708,17.72908,-67.52523,18.09765,-69.2796,LC80060472014195LGN00,LC80060472014195LGN00,LC80060472014195LGN00
1,N,LC80100462014191LGN00,10,46,10,46,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/10/14,2014:191:15:20:18.5521818,2014:191:15:20:50.5525050,9,7.96,66.37878848,80.4159393,4.538,4.439,Yes,"20¡13'48.25""N","74¡03'06.84""W","21¡16'40.22""N","74¡44'44.05""W","20¡54'35.10""N","72¡57'22.18""W","19¡10'16.68""N","73¡22'12.61""W","19¡32'28.14""N","75¡08'21.77""W",20.23007,-74.0519,21.27784,-74.74557,20.90975,-72.95616,19.1713,-73.37017,19.54115,-75.13938,LC80100462014191LGN00,LC80100462014191LGN00,LC80100462014191LGN00
1,N,LC80100482014191LGN00,10,48,10,48,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/10/14,2014:191:15:21:06.5526606,2014:191:15:21:38.5529838,9,12.41,65.31916245,74.23336044,4.891,6.461,Yes,"17¡20'40.24""N","74¡42'51.37""W","18¡23'31.13""N","75¡23'48.41""W","18¡01'35.51""N","73¡38'20.51""W","16¡17'11.83""N","74¡02'30.91""W","16¡39'14.83""N","75¡46'58.08""W",17.34451,-74.71427,18.39198,-75.39678,18.02653,-73.63903,16.28662,-74.04192,16.65412,-75.7828,LC80100482014191LGN00,LC80100482014191LGN00,LC80100482014191LGN00
1,N,LC80100442014191LGN00,10,44,10,44,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/10/14,2014:191:15:19:31.5517131,2014:191:15:20:02.5520202,9,12.11,67.13576515,87.12361765,5.546,6.072,Yes,"23¡06'45.43""N","73¡22'20.35""W","24¡09'39.10""N","74¡04'44.18""W","23¡47'22.45""N","72¡15'08.06""W","22¡03'10.12""N","72¡40'46.34""W","22¡25'31.94""N","74¡28'56.86""W",23.11262,-73.37232,24.16086,-74.07894,23.78957,-72.25224,22.05281,-72.67954,22.42554,-74.48246,LC80100442014191LGN00,LC80100442014191LGN00,LC80100442014191LGN00
1,N,LC80100452014191LGN00,10,45,10,45,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/10/14,2014:191:15:19:55.5519555,2014:191:15:20:26.5522626,9,10.22,66.79723775,83.71138893,5.242,5.387,Yes,"21¡40'18.37""N","73¡42'52.02""W","22¡43'11.14""N","74¡24'51.80""W","22¡21'00.50""N","72¡36'25.34""W","20¡36'45.04""N","73¡01'38.64""W","20¡59'01.46""N","74¡48'46.12""W",21.67177,-73.71445,22.71976,-74.41439,22.35014,-72.60704,20.61251,-73.0274,20.98374,-74.81281,LC80100452014191LGN00,LC80100452014191LGN00,LC80100452014191LGN00
1,N,LC80120452014189LGN00,12,45,12,45,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/8/14,2014:189:15:32:15.5593515,2014:189:15:32:47.5596747,9,9.31,66.87302645,83.10136058,5.967,4.86,Yes,"21¡40'17.76""N","76¡48'17.53""W","22¡43'10.49""N","77¡30'17.39""W","22¡20'59.86""N","75¡41'50.86""W","20¡36'44.46""N","76¡07'04.12""W","20¡59'00.89""N","77¡54'11.63""W",21.6716,-76.80487,22.71958,-77.50483,22.34996,-75.69746,20.61235,-76.11781,20.98358,-77.90323,LC80120452014189LGN00,LC80120452014189LGN00,LC80120452014189LGN00
1,N,LC80120462014189LGN00,12,46,12,46,NADIR,FULL,NOMINAL,-0.001,LGN,DAY,Level 1T,OLI_TIRS,7/8/14,2014:189:15:32:39.5595939,2014:189:15:33:11.5599111,9,1.67,66.43972558,79.80527867,5.488,5.198,Yes,"20¡13'46.70""N","77¡08'32.46""W","21¡16'38.64""N","77¡50'09.53""W","20¡54'33.59""N","76¡02'47.87""W","19¡10'15.17""N","76¡27'38.27""W","19¡32'26.56""N","78¡13'47.21""W",20.22964,-77.14235,21.2774,-77.83598,20.90933,-76.04663,19.17088,-76.46063,19.54071,-78.22978,LC80120462014189LGN00,LC80120462014189LGN00,LC80120462014189LGN00
